,data,godzina,dom,-,wyjazd,wynik,pusta
250,,,Warta Poznań,-,Śląsk Wrocław,-:-,
251,,,Zagłębie Lubin,-,Górnik Zabrze,-:-,
252,22/04/2023,,Górnik Zabrze,-,Śląsk Wrocław,-:-,
253,,,Korona Kielce,-,Zagłębie Lubin,-:-,
254,,,Lechia Gdańsk,-,KS Cracovia,-:-,
255,,,Miedź Legnica,-,Raków Częstochowa,-:-,
256,,,Pogoń Szczecin,-,FKS Stal Mielec,-:-,
257,,,Radomiak Radom,-,Lech Poznań,-:-,
258,,,Warta Poznań,-,Legia Warszawa,-:-,
259,,,Widzew Łódź,-,Piast Gliwice,-:-,
260,,,Wisła Płock,-,Jagiellonia Białystok,-:-,
261,29/04/2023,,FKS Stal Mielec,-,Korona Kielce,-:-,
262,,,Jagiellonia Białystok,-,Warta Poznań,-:-,
263,,,KS Cracovia,-,Miedź Legnica,-:-,
264,,,Lech Poznań,-,Górnik Zabrze,-:-,
265,,,Legia Warszawa,-,Wisła Płock,-:-,
266,,,Piast Gliwice,-,Pogoń Szczecin,-:-,
267,,,Raków Częstochowa,-,Lechia Gdańsk,-:-,
268,,,Śląsk Wrocław,-,Radomiak Radom,-:-,
269,,,Zagłębie Lubin,-,Widzew Łódź,-:-,
270,06/05/2023,,Górnik Zabrze,-,Warta Poznań,-:-,
271,,,Jagiellonia Białystok,-,Śląsk Wrocław,-:-,
272,,,Korona Kielce,-,Raków Częstochowa,-:-,
273,,,Lech Poznań,-,KS Cracovia,-:-,
274,,,Lechia Gdańsk,-,Zagłębie Lubin,-:-,
275,,,Miedź Legnica,-,Widzew Łódź,-:-,
276,,,Pogoń Szczecin,-,Legia Warszawa,-:-,
277,,,Radomiak Radom,-,Piast Gliwice,-:-,
278,,,Wisła Płock,-,FKS Stal Mielec,-:-,
279,13/05/2023,,FKS Stal Mielec,-,Lechia Gdańsk,-:-,
280,,,KS Cracovia,-,Zagłębie Lubin,-:-,
281,,,Legia Warszawa,-,Jagiellonia Białystok,-:-,
282,,,Piast Gliwice,-,Korona Kielce,-:-,
283,,,Pogoń Szczecin,-,Miedź Legnica,-:-,
284,,,Raków Częstochowa,-,Lech Poznań,-:-,
285,,,Śląsk Wrocław,-,Wisła Płock,-:-,
286,,,Warta Poznań,-,Radomiak Radom,-:-,
287,,,Widzew Łódź,-,Górnik Zabrze,-:-,
288,20/05/2023,,Górnik Zabrze,-,Pogoń Szczecin,-:-,
289,,,Jagiellonia Białystok,-,KS Cracovia,-:-,
290,,,Korona Kielce,-,Lech Poznań,-:-,
291,,,Lechia Gdańsk,-,Legia Warszawa,-:-,
