,data,godzina,dom,-,wyjazd,wynik,pusta
305,09/04/2017,14:30,Piast Gliwice,-,Lechia Gdańsk,1:1 (1:1),
306,,17:00,Lech Poznań,-,Legia Warszawa,1:2 (0:0),
307,10/04/2017,17:00,Korona Kielce,-,Ruch Chorzów,1:0 (0:0),
308,15/04/2017,14:30,Ruch Chorzów,-,Pogoń Szczecin,1:2 (1:1),
309,,14:30,Śląsk Wrocław,-,Górnik Łęczna,2:2 (2:0),
310,,17:00,Jagiellonia Białystok,-,KS Cracovia,0:0 (0:0),
311,,19:30,Wisła Płock,-,Lech Poznań,0:3 (0:2),
312,17/04/2017,14:30,Bruk-Bet Termalica Nieciecza,-,Piast Gliwice,1:0 (1:0),
313,,14:30,Legia Warszawa,-,Korona Kielce,0:0 (0:0),
314,,17:00,Wisła Kraków,-,Zagłębie Lubin,1:0 (0:0),
315,,17:00,Lechia Gdańsk,-,Arka Gdynia,2:1 (1:0),
316,22/04/2017,17:00,Zagłębie Lubin,-,Śląsk Wrocław,1:1 (1:1),
317,,17:00,Lech Poznań,-,Ruch Chorzów,3:0 (2:0),
318,,17:00,Górnik Łęczna,-,Wisła Kraków,3:1 (1:0),
319,,17:00,Korona Kielce,-,Bruk-Bet Termalica Nieciecza,0:1 (0:0),
320,,17:00,Piast Gliwice,-,Jagiellonia Białystok,0:1 (0:1),
321,,17:00,Arka Gdynia,-,Wisła Płock,1:1 (1:0),
322,,17:00,KS Cracovia,-,Legia Warszawa,1:2 (1:1),
323,,17:00,Pogoń Szczecin,-,Lechia Gdańsk,3:1 (1:1),
324,17/07/2015,17:00,Wisła Kraków,-,Górnik Zabrze,1:1 (1:1),
325,,19:30,Lechia Gdańsk,-,KS Cracovia,0:1 (0:1),
326,18/07/2015,14:30,Ruch Chorzów,-,Górnik Łęczna,0:2 (0:1),
